Date,Open,High,Low,Close,Adj Close,Volume
2022-11-25,36.650002,36.849998,34.240002,34.650002,34.650002,9833600
2022-11-28,33.860001,35.189999,33.700001,34.900002,34.900002,10612800
2022-11-29,35.490002,35.849998,35.240002,35.279999,35.279999,10079100
2022-11-30,35.980000,36.599998,35.230000,36.049999,36.049999,16829200
2022-12-01,36.099998,37.290001,36.000000,36.700001,36.700001,11703800
2022-12-02,36.910000,37.599998,36.130001,36.689999,36.689999,7288600
2022-12-05,37.110001,37.360001,35.730000,36.020000,36.020000,7380100
2022-12-06,35.599998,36.669998,33.900002,34.639999,34.639999,14712000
2022-12-07,34.389999,34.470001,32.189999,32.669998,32.669998,22026300
2022-12-08,33.000000,33.810001,32.720001,33.169998,33.169998,16274400
2022-12-09,33.299999,33.849998,33.160000,33.650002,33.650002,9605800
2022-12-12,33.400002,34.990002,32.770000,34.639999,34.639999,12620000
2022-12-13,35.060001,35.500000,34.389999,34.889999,34.889999,13975600
2022-12-14,34.889999,36.570000,34.700001,36.180000,36.180000,19388600
2022-12-15,35.930000,36.349998,35.310001,35.770000,35.770000,9106500
2022-12-16,35.389999,35.529999,34.950001,35.349998,35.349998,14976800
2022-12-19,35.419998,35.849998,35.160000,35.779999,35.779999,9261200
2022-12-20,35.680000,36.189999,35.400002,35.860001,35.860001,12800600
2022-12-21,36.320000,36.750000,35.160000,35.630001,35.630001,10712800
2022-12-22,36.189999,36.250000,34.619999,35.259998,35.259998,13665600
2022-12-23,35.950001,36.049999,35.360001,35.490002,35.490002,7403800
2022-12-26,35.200001,35.580002,35.000000,35.439999,35.439999,4152200
2022-12-27,35.689999,35.869999,35.209999,35.580002,35.580002,12627800
2022-12-28,35.680000,37.490002,35.580002,37.250000,37.250000,10775200
2022-12-29,37.250000,37.480000,36.619999,37.209999,37.209999,7890300
2023-01-02,36.880001,37.660000,36.450001,36.759998,36.759998,6577200
2023-01-03,36.500000,36.810001,34.250000,34.299999,34.299999,12918600
2023-01-04,33.900002,34.750000,33.099998,34.090000,34.090000,10889600
2023-01-05,34.790001,35.290001,34.130001,34.970001,34.970001,8847600
2023-01-06,34.209999,35.410000,33.900002,35.180000,35.180000,9947800
2023-01-09,35.840000,36.650002,35.630001,36.009998,36.009998,8449600
2023-01-10,36.299999,36.369999,35.369999,36.209999,36.209999,6245600
2023-01-11,36.520000,39.020000,36.439999,39.020000,39.020000,18629200
2023-01-12,39.029999,39.799999,38.830002,39.750000,39.750000,8608700
2023-01-13,39.700001,39.750000,38.599998,39.049999,39.049999,6640700
2023-01-16,38.770000,39.349998,38.680000,39.070000,39.070000,4586700
2023-01-17,39.270000,39.849998,37.639999,38.740002,38.740002,11896000
2023-01-18,39.209999,39.779999,38.919998,38.970001,38.970001,9918100
2023-01-19,38.820000,40.540001,38.520000,40.520000,40.520000,10453000
2023-01-20,40.310001,41.490002,39.529999,41.099998,41.099998,12920300
